Params;MeanMAE;MeanR2
{'activation': 'logistic', 'alpha': 0.0005, 'hidden_layer_sizes': (8, 16, 32, 16, 8), 'max_iter': 2000, 'solver': 'adam'};0.42364543605025917;-0.16352787174828073
{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (32, 64, 128, 64, 32), 'max_iter': 1000, 'solver': 'sgd'};0.8191211889321648;-0.005044012809843368
{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (32, 64, 128, 64, 32), 'max_iter': 2000, 'solver': 'sgd'};0.8183215531265947;-0.004829349536213989
{'activation': 'logistic', 'alpha': 5e-05, 'hidden_layer_sizes': (15, 27, 40, 31, 12), 'max_iter': 1000, 'solver': 'sgd'};0.8172886405263095;-0.004822872466930495
{'activation': 'logistic', 'alpha': 0.0005, 'hidden_layer_sizes': (32, 64, 128, 64, 32), 'max_iter': 2000, 'solver': 'sgd'};0.8151782826464128;-0.004760091383221354
{'activation': 'logistic', 'alpha': 5e-05, 'hidden_layer_sizes': (32, 64, 128, 64, 32), 'max_iter': 2000, 'solver': 'sgd'};0.8151942210872264;-0.0045175444895097835
{'activation': 'logistic', 'alpha': 0.0005, 'hidden_layer_sizes': (15, 27, 40, 31, 12), 'max_iter': 1000, 'solver': 'sgd'};0.8163407957550552;-0.0044498972414027445
{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (8, 16, 32, 16, 8), 'max_iter': 2000, 'solver': 'sgd'};0.8166504592253847;-0.004420240869442571
{'activation': 'logistic', 'alpha': 5e-05, 'hidden_layer_sizes': (15, 27, 40, 31, 12), 'max_iter': 2000, 'solver': 'sgd'};0.8173917748727713;-0.004409025492014074
{'activation': 'logistic', 'alpha': 0.0005, 'hidden_layer_sizes': (8, 16, 32, 16, 8), 'max_iter': 2000, 'solver': 'sgd'};0.8171983965097309;-0.004309349492971482
{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (15, 27, 40, 31, 12), 'max_iter': 1000, 'solver': 'sgd'};0.8181030327483153;-0.004266725832498786
{'activation': 'logistic', 'alpha': 0.0005, 'hidden_layer_sizes': (15, 27, 40, 31, 12), 'max_iter': 2000, 'solver': 'sgd'};0.8166639213109856;-0.0041574463630406734
{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (8, 16, 32, 16, 8), 'max_iter': 1000, 'solver': 'sgd'};0.8169452133505672;-0.00413747253862864
{'activation': 'logistic', 'alpha': 0.0005, 'hidden_layer_sizes': (8, 16, 32, 16, 8), 'max_iter': 1000, 'solver': 'sgd'};0.8167120639742192;-0.0040477877552271835
{'activation': 'logistic', 'alpha': 5e-05, 'hidden_layer_sizes': (8, 16, 32, 16, 8), 'max_iter': 1000, 'solver': 'sgd'};0.8163805320836636;-0.0040451703670694615
{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (32, 64, 32), 'max_iter': 1000, 'solver': 'sgd'};0.818494875889711;-0.0039707757424132465
{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (15, 27, 40, 31, 12), 'max_iter': 2000, 'solver': 'sgd'};0.8171099445212494;-0.0039541789150524306
{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (32, 64, 32), 'max_iter': 2000, 'solver': 'sgd'};0.8164782795896569;-0.003907203654846203
{'activation': 'logistic', 'alpha': 5e-05, 'hidden_layer_sizes': (8, 16, 32, 16, 8), 'max_iter': 2000, 'solver': 'sgd'};0.8168897012672736;-0.0038815930218011998
{'activation': 'logistic', 'alpha': 0.0005, 'hidden_layer_sizes': (32, 64, 32), 'max_iter': 2000, 'solver': 'sgd'};0.8163495230914073;-0.003787675786973388
{'activation': 'logistic', 'alpha': 5e-05, 'hidden_layer_sizes': (32, 64, 128, 64, 32), 'max_iter': 1000, 'solver': 'sgd'};0.817043652973999;-0.0037247077842781804
{'activation': 'logistic', 'alpha': 0.0005, 'hidden_layer_sizes': (32, 64, 128, 64, 32), 'max_iter': 1000, 'solver': 'sgd'};0.8163099875414073;-0.003572818247615528
{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (64, 128, 64), 'max_iter': 1000, 'solver': 'sgd'};0.8203819746992561;-0.003300616137371781
{'activation': 'logistic', 'alpha': 5e-05, 'hidden_layer_sizes': (32, 64, 32), 'max_iter': 2000, 'solver': 'sgd'};0.8158472280397652;-0.0031269768706104093
{'activation': 'logistic', 'alpha': 5e-05, 'hidden_layer_sizes': (32, 64, 32), 'max_iter': 1000, 'solver': 'sgd'};0.8166823362776418;-0.0030701379135578133
{'activation': 'logistic', 'alpha': 0.0005, 'hidden_layer_sizes': (32, 64, 32), 'max_iter': 1000, 'solver': 'sgd'};0.8138520060880806;-0.0029237017427928167
{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (64, 128, 64), 'max_iter': 2000, 'solver': 'sgd'};0.8135641700586858;-0.0009864066956074113
{'activation': 'logistic', 'alpha': 5e-05, 'hidden_layer_sizes': (8, 16, 32, 16, 8), 'max_iter': 2000, 'solver': 'adam'};0.31822704815269065;0.1299668527430758
{'activation': 'logistic', 'alpha': 0.0005, 'hidden_layer_sizes': (64, 128, 64), 'max_iter': 1000, 'solver': 'sgd'};0.7081322528377798;0.17506386289019216
{'activation': 'logistic', 'alpha': 5e-05, 'hidden_layer_sizes': (64, 128, 64), 'max_iter': 2000, 'solver': 'sgd'};0.6980321707893835;0.18006843861547212
{'activation': 'identity', 'alpha': 0.0005, 'hidden_layer_sizes': (8, 16, 32, 16, 8), 'max_iter': 2000, 'solver': 'adam'};0.502663023184585;0.3387863316634318
{'activation': 'identity', 'alpha': 0.0005, 'hidden_layer_sizes': (32, 64, 128, 64, 32), 'max_iter': 1000, 'solver': 'sgd'};0.44103261055135146;0.3472138090433182
{'activation': 'identity', 'alpha': 5e-05, 'hidden_layer_sizes': (15, 27, 40, 31, 12), 'max_iter': 2000, 'solver': 'sgd'};0.4073244623498103;0.38032225945575815
{'activation': 'logistic', 'alpha': 0.0005, 'hidden_layer_sizes': (15, 27, 40, 31, 12), 'max_iter': 2000, 'solver': 'adam'};0.27273029502279134;0.3806210907618063
{'activation': 'identity', 'alpha': 0.0005, 'hidden_layer_sizes': (32, 64, 32), 'max_iter': 2000, 'solver': 'sgd'};0.445489955719522;0.41163617295579985
{'activation': 'identity', 'alpha': 5e-05, 'hidden_layer_sizes': (15, 27, 40, 31, 12), 'max_iter': 1000, 'solver': 'sgd'};0.40882515585936663;0.4312364969022996
{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (32, 64, 32), 'max_iter': 2000, 'solver': 'adam'};0.2635727154525617;0.4834642597594834
{'activation': 'logistic', 'alpha': 5e-05, 'hidden_layer_sizes': (64, 128, 64), 'max_iter': 1000, 'solver': 'sgd'};0.4678928334357554;0.5170307453487092
{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (64, 128, 64), 'max_iter': 2000, 'solver': 'sgd'};0.3554431650478697;0.5224201269407929
{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (15, 27, 40, 31, 12), 'max_iter': 1000, 'solver': 'adam'};0.26842766167079607;0.5327208706345619
{'activation': 'logistic', 'alpha': 0.0005, 'hidden_layer_sizes': (64, 128, 64), 'max_iter': 2000, 'solver': 'sgd'};0.4427599169038993;0.5328651657649125
{'activation': 'identity', 'alpha': 0.0005, 'hidden_layer_sizes': (15, 27, 40, 31, 12), 'max_iter': 2000, 'solver': 'sgd'};0.3581608663851889;0.5380601217629415
{'activation': 'logistic', 'alpha': 0.0005, 'hidden_layer_sizes': (15, 27, 40, 31, 12), 'max_iter': 1000, 'solver': 'adam'};0.2655156652309351;0.5573594725308425
{'activation': 'identity', 'alpha': 5e-05, 'hidden_layer_sizes': (32, 64, 32), 'max_iter': 1000, 'solver': 'sgd'};0.4005660764006853;0.5689128173204414
{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (8, 16, 32, 16, 8), 'max_iter': 2000, 'solver': 'adam'};0.2633984736935641;0.5697515696487637
{'activation': 'identity', 'alpha': 5e-05, 'hidden_layer_sizes': (32, 64, 128, 64, 32), 'max_iter': 2000, 'solver': 'sgd'};0.37259408721872384;0.5713252115924795
{'activation': 'identity', 'alpha': 5e-05, 'hidden_layer_sizes': (32, 64, 32), 'max_iter': 2000, 'solver': 'sgd'};0.4007848897971341;0.5763248797654205
{'activation': 'logistic', 'alpha': 0.0005, 'hidden_layer_sizes': (32, 64, 128, 64, 32), 'max_iter': 1000, 'solver': 'adam'};0.26501614578115185;0.5766812024468988
{'activation': 'logistic', 'alpha': 5e-05, 'hidden_layer_sizes': (15, 27, 40, 31, 12), 'max_iter': 1000, 'solver': 'adam'};0.26107245875667806;0.5798244726284028
{'activation': 'logistic', 'alpha': 5e-05, 'hidden_layer_sizes': (15, 27, 40, 31, 12), 'max_iter': 2000, 'solver': 'adam'};0.26336916744838057;0.585971931196588
{'activation': 'identity', 'alpha': 5e-05, 'hidden_layer_sizes': (32, 64, 32), 'max_iter': 2000, 'solver': 'adam'};0.41423348900861745;0.5877167179448113
{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (8, 16, 32, 16, 8), 'max_iter': 1000, 'solver': 'sgd'};0.3815899662620187;0.5908125469909926
{'activation': 'identity', 'alpha': 0.0005, 'hidden_layer_sizes': (15, 27, 40, 31, 12), 'max_iter': 2000, 'solver': 'adam'};0.42376808469202887;0.5927331554516481
{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (32, 64, 128, 64, 32), 'max_iter': 2000, 'solver': 'sgd'};0.4193389416704426;0.5937318904526645
{'activation': 'logistic', 'alpha': 0.0005, 'hidden_layer_sizes': (32, 64, 32), 'max_iter': 2000, 'solver': 'adam'};0.24580694372239464;0.5950000740369855
{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (8, 16, 32, 16, 8), 'max_iter': 1000, 'solver': 'sgd'};0.30784269813138765;0.6064743284668659
{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (8, 16, 32, 16, 8), 'max_iter': 2000, 'solver': 'sgd'};0.30321276783215156;0.6084853250166924
{'activation': 'identity', 'alpha': 5e-05, 'hidden_layer_sizes': (8, 16, 32, 16, 8), 'max_iter': 1000, 'solver': 'sgd'};0.3581756872450571;0.6188277643758318
{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (15, 27, 40, 31, 12), 'max_iter': 2000, 'solver': 'adam'};0.40816814069368945;0.6203916764024893
{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (32, 64, 128, 64, 32), 'max_iter': 1000, 'solver': 'sgd'};0.3732114504095116;0.6217738071408604
{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (32, 64, 32), 'max_iter': 1000, 'solver': 'sgd'};0.3622754265206699;0.6369347336685751
{'activation': 'identity', 'alpha': 0.0005, 'hidden_layer_sizes': (8, 16, 32, 16, 8), 'max_iter': 1000, 'solver': 'adam'};0.39716893852099744;0.6396662497781124
{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (32, 64, 32), 'max_iter': 1000, 'solver': 'adam'};0.23549753699551398;0.6420718665487872
{'activation': 'identity', 'alpha': 5e-05, 'hidden_layer_sizes': (32, 64, 128, 64, 32), 'max_iter': 1000, 'solver': 'sgd'};0.3676413952348162;0.6503728850015591
{'activation': 'identity', 'alpha': 0.0005, 'hidden_layer_sizes': (8, 16, 32, 16, 8), 'max_iter': 1000, 'solver': 'sgd'};0.36557323620704396;0.6526174395462775
{'activation': 'identity', 'alpha': 0.0005, 'hidden_layer_sizes': (64, 128, 64), 'max_iter': 2000, 'solver': 'sgd'};0.39481772220242084;0.6526575613763873
{'activation': 'identity', 'alpha': 5e-05, 'hidden_layer_sizes': (15, 27, 40, 31, 12), 'max_iter': 1000, 'solver': 'adam'};0.38604251980857235;0.6607135391947907
{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (32, 64, 128, 64, 32), 'max_iter': 2000, 'solver': 'adam'};0.3869041837028514;0.6632757351713225
{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (15, 27, 40, 31, 12), 'max_iter': 2000, 'solver': 'adam'};0.24601670946273813;0.667896954950247
{'activation': 'logistic', 'alpha': 5e-05, 'hidden_layer_sizes': (32, 64, 32), 'max_iter': 2000, 'solver': 'adam'};0.24028650505350352;0.6710381244824531
{'activation': 'identity', 'alpha': 0.0005, 'hidden_layer_sizes': (64, 128, 64), 'max_iter': 1000, 'solver': 'sgd'};0.3614835302172935;0.6765619038464946
{'activation': 'identity', 'alpha': 0.0005, 'hidden_layer_sizes': (32, 64, 32), 'max_iter': 1000, 'solver': 'sgd'};0.36684396902586575;0.6841718365599914
{'activation': 'identity', 'alpha': 5e-05, 'hidden_layer_sizes': (8, 16, 32, 16, 8), 'max_iter': 1000, 'solver': 'adam'};0.381650505797229;0.6843930162722591
{'activation': 'identity', 'alpha': 5e-05, 'hidden_layer_sizes': (8, 16, 32, 16, 8), 'max_iter': 2000, 'solver': 'sgd'};0.34093979393886975;0.6850089191197577
{'activation': 'identity', 'alpha': 5e-05, 'hidden_layer_sizes': (64, 128, 64), 'max_iter': 1000, 'solver': 'sgd'};0.3620631729490212;0.6917793509305875
{'activation': 'identity', 'alpha': 5e-05, 'hidden_layer_sizes': (64, 128, 64), 'max_iter': 2000, 'solver': 'sgd'};0.34038541246848614;0.6920827491506214
{'activation': 'identity', 'alpha': 0.0005, 'hidden_layer_sizes': (15, 27, 40, 31, 12), 'max_iter': 1000, 'solver': 'adam'};0.37357912359700085;0.6940842021780584
{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (8, 16, 32, 16, 8), 'max_iter': 1000, 'solver': 'adam'};0.23788881665949146;0.6964391797208932
{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (15, 27, 40, 31, 12), 'max_iter': 1000, 'solver': 'sgd'};0.35218851089967157;0.700068136640777
{'activation': 'tanh', 'alpha': 0.0005, 'hidden_layer_sizes': (8, 16, 32, 16, 8), 'max_iter': 1000, 'solver': 'adam'};0.24455871578166705;0.7014040846856752
{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (64, 128, 64), 'max_iter': 1000, 'solver': 'sgd'};0.36120908945350394;0.7021222365953703
{'activation': 'identity', 'alpha': 0.0005, 'hidden_layer_sizes': (8, 16, 32, 16, 8), 'max_iter': 2000, 'solver': 'sgd'};0.3607625799546462;0.702244553166656
{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (8, 16, 32, 16, 8), 'max_iter': 2000, 'solver': 'sgd'};0.3651892849279034;0.7027376462482293
{'activation': 'identity', 'alpha': 0.0005, 'hidden_layer_sizes': (32, 64, 128, 64, 32), 'max_iter': 2000, 'solver': 'sgd'};0.3507793370732745;0.7032917635686802
{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (15, 27, 40, 31, 12), 'max_iter': 2000, 'solver': 'sgd'};0.3617861566363182;0.703834777264141
{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (32, 64, 32), 'max_iter': 2000, 'solver': 'sgd'};0.3556688308242658;0.705853121888049
{'activation': 'logistic', 'alpha': 5e-05, 'hidden_layer_sizes': (8, 16, 32, 16, 8), 'max_iter': 1000, 'solver': 'adam'};0.23493634540054714;0.7094425567128076
{'activation': 'identity', 'alpha': 5e-05, 'hidden_layer_sizes': (32, 64, 128, 64, 32), 'max_iter': 1000, 'solver': 'adam'};0.3658078266344976;0.7107676668465504
{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (8, 16, 32, 16, 8), 'max_iter': 2000, 'solver': 'adam'};0.34945563204338514;0.7118832651822051
{'activation': 'logistic', 'alpha': 5e-05, 'hidden_layer_sizes': (32, 64, 32), 'max_iter': 1000, 'solver': 'adam'};0.2267974252121447;0.7127880056316094
{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (32, 64, 128, 64, 32), 'max_iter': 1000, 'solver': 'adam'};0.3648733616633605;0.7135828494306804
{'activation': 'identity', 'alpha': 5e-05, 'hidden_layer_sizes': (64, 128, 64), 'max_iter': 2000, 'solver': 'adam'};0.36209213787266636;0.7151721828210461
{'activation': 'logistic', 'alpha': 0.0005, 'hidden_layer_sizes': (8, 16, 32, 16, 8), 'max_iter': 1000, 'solver': 'adam'};0.23460690074429164;0.717450342299148
{'activation': 'identity', 'alpha': 5e-05, 'hidden_layer_sizes': (64, 128, 64), 'max_iter': 1000, 'solver': 'adam'};0.36281460973599267;0.718423163662006
{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (32, 64, 32), 'max_iter': 2000, 'solver': 'adam'};0.361423260524088;0.7187658057104283
{'activation': 'relu', 'alpha': 5e-05, 'hidden_layer_sizes': (8, 16, 32, 16, 8), 'max_iter': 2000, 'solver': 'sgd'};0.26210225488554506;0.7209859523208667
{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (8, 16, 32, 16, 8), 'max_iter': 1000, 'solver': 'adam'};0.35442155160139444;0.7233755334923929
{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (15, 27, 40, 31, 12), 'max_iter': 1000, 'solver': 'adam'};0.3389739283740489;0.7255198076810491
{'activation': 'identity', 'alpha': 0.0005, 'hidden_layer_sizes': (64, 128, 64), 'max_iter': 2000, 'solver': 'adam'};0.34955815802077017;0.734455273539078
{'activation': 'tanh', 'alpha': 0.0005, 'hidden_layer_sizes': (15, 27, 40, 31, 12), 'max_iter': 1000, 'solver': 'sgd'};0.2412984233933489;0.7348189008773495
{'activation': 'identity', 'alpha': 0.0005, 'hidden_layer_sizes': (32, 64, 32), 'max_iter': 2000, 'solver': 'adam'};0.34708295642813797;0.7358889476766618
{'activation': 'identity', 'alpha': 0.0005, 'hidden_layer_sizes': (15, 27, 40, 31, 12), 'max_iter': 1000, 'solver': 'sgd'};0.34836089649011537;0.7365504198548674
{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (64, 128, 64), 'max_iter': 1000, 'solver': 'adam'};0.3485235881231606;0.7367041950533537
{'activation': 'identity', 'alpha': 0.0005, 'hidden_layer_sizes': (32, 64, 128, 64, 32), 'max_iter': 1000, 'solver': 'adam'};0.34324421595826576;0.7407672986217079
{'activation': 'identity', 'alpha': 0.0005, 'hidden_layer_sizes': (32, 64, 128, 64, 32), 'max_iter': 2000, 'solver': 'adam'};0.3437112038400319;0.7408102136429815
{'activation': 'identity', 'alpha': 5e-05, 'hidden_layer_sizes': (15, 27, 40, 31, 12), 'max_iter': 2000, 'solver': 'adam'};0.33580686027746415;0.7428319587293944
{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (32, 64, 32), 'max_iter': 1000, 'solver': 'adam'};0.3360213378186737;0.7447545357735281
{'activation': 'identity', 'alpha': 0.0005, 'hidden_layer_sizes': (64, 128, 64), 'max_iter': 1000, 'solver': 'adam'};0.3403403964105088;0.7450511110630217
{'activation': 'identity', 'alpha': 5e-05, 'hidden_layer_sizes': (32, 64, 32), 'max_iter': 1000, 'solver': 'adam'};0.3436168983130303;0.7458303640947099
{'activation': 'logistic', 'alpha': 0.0005, 'hidden_layer_sizes': (32, 64, 32), 'max_iter': 1000, 'solver': 'adam'};0.21268225072006955;0.7462723867610775
{'activation': 'tanh', 'alpha': 5e-05, 'hidden_layer_sizes': (32, 64, 32), 'max_iter': 1000, 'solver': 'adam'};0.2513912308426419;0.748060573795011
{'activation': 'identity', 'alpha': 0.0005, 'hidden_layer_sizes': (32, 64, 32), 'max_iter': 1000, 'solver': 'adam'};0.33690222401802233;0.7491442211619193
{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (64, 128, 64), 'max_iter': 2000, 'solver': 'adam'};0.33429204332187445;0.7502393760504987
{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (64, 128, 64), 'max_iter': 2000, 'solver': 'adam'};0.2106614691070408;0.7517687088331295
{'activation': 'tanh', 'alpha': 5e-05, 'hidden_layer_sizes': (32, 64, 32), 'max_iter': 1000, 'solver': 'sgd'};0.2632214276476952;0.7535590822067333
{'activation': 'identity', 'alpha': 5e-05, 'hidden_layer_sizes': (8, 16, 32, 16, 8), 'max_iter': 2000, 'solver': 'adam'};0.33633051056477675;0.7538106587091964
{'activation': 'identity', 'alpha': 5e-05, 'hidden_layer_sizes': (32, 64, 128, 64, 32), 'max_iter': 2000, 'solver': 'adam'};0.32831356510144905;0.7546401488471546
{'activation': 'relu', 'alpha': 5e-05, 'hidden_layer_sizes': (15, 27, 40, 31, 12), 'max_iter': 1000, 'solver': 'sgd'};0.2592323810814823;0.7558800115314168
